,0,1
67,"[[8, '스카치 게임'], [8, '센터 게임'], [8, '대니시 갬빗'], [8, '피어츠 디펜스'], [8, '클로즈드 게임'], [8, '런던 시스템'], [8, '퀸스 갬빗'], [8, '퀸스 갬빗 수락 (QGA)'], [8, '퀸스 갬빗 거절 (QGD)'], [8, '슬라브 디펜스'], [8, '스톤월 어택'], [8, '콜 시스템'], [8, '인디언 디펜스'], [8, '모던 베노니'], [8, '벵코 갬빗 (볼가 갬빗)'], [8, '님조-인디언 디펜스'], [8, '퀸스 인디언 디펜스'], [8, '카탈란 오프닝'], [8, '그룬펠드 디펜스'], [8, '킹스 인디언 디펜스 (KID)'], [8, '베노니 디펜스'], [8, '더치 디펜스']]",20
68,"[[5, '피어츠 디펜스'], [5, '모던 디펜스'], [5, '그룬펠드 디펜스'], [5, '킹스 인디언 디펜스 (KID)']]",20
69,"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",20
70,"[[5, '스칸디나비안 디펜스'], [5, '클로즈드 게임'], [5, '퀸스 갬빗'], [5, '퀸스 갬빗 수락 (QGA)'], [5, '퀸스 갬빗 거절 (QGD)'], [5, '슬라브 디펜스'], [5, '스톤월 어택'], [5, '콜 시스템'], [5, '모던 베노니'], [5, '벵코 갬빗 (볼가 갬빗)'], [5, '그룬펠드 디펜스']]",19
71,"[[7, '님조-인디언 디펜스']]",19
72,"[[5, '프렌치 디펜스'], [5, '퀸스 갬빗 거절 (QGD)'], [5, '모던 베노니'], [5, '님조-인디언 디펜스'], [5, '퀸스 인디언 디펜스'], [5, '카탈란 오프닝']]",19
73,"[[4, '루이 로페즈'], [4, '스카치 게임'], [4, '이탈리안 게임'], [4, '포 나이트 게임'], [4, '페트로프 디펜스'], [4, '필리도어 디펜스'], [4, '콜 시스템'], [4, '퀸스 인디언 디펜스'], [4, '주커토트 오프닝'], [4, '킹스 인디언 어택 (KIA)']]",19
74,"[[6, '스톤월 어택'], [6, '콜 시스템']]",18
75,"[[4, '스카치 게임'], [4, '센터 게임'], [4, '대니시 갬빗'], [4, '피어츠 디펜스'], [4, '클로즈드 게임'], [4, '런던 시스템'], [4, '퀸스 갬빗'], [4, '퀸스 갬빗 수락 (QGA)'], [4, '퀸스 갬빗 거절 (QGD)'], [4, '슬라브 디펜스'], [4, '스톤월 어택'], [4, '콜 시스템'], [4, '인디언 디펜스'], [4, '모던 베노니'], [4, '벵코 갬빗 (볼가 갬빗)'], [4, '님조-인디언 디펜스'], [4, '퀸스 인디언 디펜스'], [4, '카탈란 오프닝'], [4, '그룬펠드 디펜스'], [4, '킹스 인디언 디펜스 (KID)'], [4, '베노니 디펜스'], [4, '더치 디펜스']]",18
76,"[[6, '오픈 게임'], [6, '루이 로페즈'], [6, '스카치 게임'], [6, '이탈리안 게임'], [6, '포 나이트 게임'], [6, '페트로프 디펜스'], [6, '필리도어 디펜스'], [6, '비엔나 게임'], [6, '비숍 오프닝'], [6, '킹스 갬빗'], [6, '센터 게임'], [6, '대니시 갬빗']]",18
