,1,2,3,0
g3,d5,Bg2,g6,1
e4,c6,e5,d5,1
e4,c5,Bc4,g6,1
e4,c5,Bd3,Nc6,1
e4,Nc6,Nf3,Nf6,1
g4,d5,e3,e5,1
e4,c6,d4,d6,1
g3,e5,Bg2,g6,1
e4,e6,c4,d5,1
e4,c6,d3,e5,1
e4,e5,Nf3,f5,1
e4,Nf6,d3,d5,1
e4,e5,Nh3,d6,1
f4,d5,Nf3,Bg4,1
e4,e6,d4,b6,1
f4,b5,e4,a6,1
e4,e5,f4,d6,1
e4,c5,a3,d5,1
e4,c5,d3,e6,1
e4,c5,a3,d6,1
e4,c5,a3,e6,1
f4,d6,Nf3,h6,1
e4,c5,b3,Nf6,1
e4,c5,d3,d6,1
e4,e5,Nf3,Bc5,1
e4,e5,Ne2,Nc6,1
f4,d5,d3,Nf6,1
e4,c5,b3,e6,1
e4,c5,d3,d5,1
e4,e5,Bc4,d6,1
e4,c5,b4,cxb4,1
e4,c5,c4,d6,1
e4,c5,b4,e6,1
e4,e6,Nf3,c5,1
f4,c5,Nf3,Nc6,1
f4,c5,Nf3,Nf6,1
e4,e5,f3,Nf6,1
e4,e5,f4,Nc6,1
e4,e5,Nc3,Bc5,1
e4,e5,Bd3,Nf6,1
f4,c5,Nf3,d6,1
e4,c5,c3,e5,1
f4,c5,Nf3,g6,1
f4,b6,e4,Bb7,1
f4,e5,e4,exf4,1
e4,e5,Nf3,a6,1
e4,c5,d4,e6,1
e4,e6,d4,c5,1
e4,e6,d4,d6,1
e4,e5,Nf3,Qf6,1
e4,c5,Ne2,a6,1
f4,c5,e4,d6,1
e4,e6,Nf3,1-0,1
e4,g6,Nc3,c6,1
g3,c5,c4,Nc6,1
g3,c5,Bg2,g6,1
e4,c5,Ne2,g6,1
g3,Nf6,f4,d5,1
e4,c5,f4,Nc6,1
g3,Nf6,f4,c5,1
e4,c5,f3,e6,1
e4,g6,h4,d5,1
e4,e5,Nf3,Bd6,1
e4,e5,d3,d5,1
e4,c5,e5,Nc6,1
f4,Nc6,Nf3,d6,1
f4,Nf6,Nf3,d5,1
e4,c5,Nh3,d5,1
e4,e5,d4,Qh4,1
f4,Nf6,Nf3,e6,1
f4,Nf6,Nf3,g6,1
f4,e6,Nc3,d5,1
f4,Nh6,Nf3,d5,1
e4,e5,d4,d6,1
e4,c5,f4,e6,1
Nc3,Nf6,Nf3,Nc6,1
e4,Nc6,Nc3,d6,1
b3,d5,Bb2,Nc6,1
b4,e5,b5,a6,1
b4,e5,Bb2,d6,1
b4,d5,Bb2,Nf6,1
b4,d5,Bb2,Bf5,1
b4,c6,c4,Nf6,1
b4,Nf6,a4,g6,1
b3,e6,Bb2,d5,1
b3,e5,c4,Nc6,1
b3,d6,d4,Nf6,1
b3,d5,Bb2,e6,1
b3,d5,Bb2,d4,1
b3,d5,Bb2,c6,1
b3,b6,Bb2,Nf6,1
c3,Nf6,g3,d5,1
b3,Nf6,f4,g6,1
b3,Nf6,e3,g6,1
b3,Nf6,Nf3,g6,1
b3,Nf6,Bb2,c5,1
a3,g6,d4,Nf6,1
a3,d5,Nf3,Nf6,1
Nf3,g6,e4,c6,1
Nf3,g6,e4,c5,1
Nf3,g6,d4,d6,1
Nf3,g6,d4,d5,1
Nf3,f5,g3,g6,1
Nf3,f5,g3,Nf6,1
b4,e6,Bb2,Nf6,1
c4,Nc6,Nc3,e5,1
e4,Nc6,Bb5,g6,1
c4,c5,Nf3,e6,1
c4,e5,Nc3,Ke7,1
c4,d6,Nc3,Nf6,1
c4,d5,d4,Nf6,1
c4,d5,Nc3,1-0,1
c4,c6,g3,d5,1
c4,c6,g3,Nf6,1
c4,c6,d4,d6,1
c4,c6,Nc3,Nf6,1
c4,c6,Nc3,Na6,1
c4,c5,g3,Nf6,1
c4,c5,d4,cxd4,1
c4,c5,b3,d6,1
c4,c5,Na3,a6,1
c4,Nc6,Nc3,e6,1
c4,b6,g3,Bb7,1
c4,b6,d4,e6,1
c4,b6,d4,Bb7,1
c4,b6,Nc3,c5,1
c4,Nf6,g3,d6,1
c4,Nf6,g3,d5,1
c4,Nf6,g3,c5,1
c4,Nf6,d4,e5,1
c4,Nf6,a3,g6,1
c4,Nf6,Nf3,b6,1
c4,Nf6,Nc3,c6,1
c4,Nc6,d4,d5,1
Nf3,f5,e3,Nf6,1
Nf3,f5,c4,e6,1
Nf3,f5,Nc3,g6,1
Nf3,Nf6,b3,c5,1
Nf3,c5,c3,Nf6,1
Nf3,c5,b3,d5,1
Nf3,c5,b3,Nf6,1
Nf3,b6,g3,Bb7,1
Nf3,b6,c4,Bb7,1
Nf3,b6,b3,Bb7,1
Nf3,a5,d4,h5,1
Nf3,Nf6,g3,Nc6,1
Nf3,Nf6,e3,d6,1
Nf3,Nf6,e3,c5,1
Nf3,Nf6,e3,b6,1
Nf3,Nf6,c4,Nc6,1
Nf3,Nf6,b3,b6,1
Nf3,e6,g3,f5,1
Nf3,Nf6,Nc3,d5,1
Nf3,Nf6,Nc3,c5,1
Nf3,Nf6,Nc3,Nc6,1
Nf3,Nc6,d4,e6,1
Nf3,Nc6,c4,Nf6,1
Nc3,g6,h4,h5,1
Nc3,e5,Nf3,Nc6,1
Nc3,d5,e4,dxe4,1
Nc3,d5,e4,d4,1
Nc3,d5,e4,c6,1
Nc3,d5,e3,e5,1
Nc3,c5,Nf3,Nf6,1
Nf3,c5,e3,Nc6,1
Nf3,c5,e4,Nc6,1
Nf3,c5,e4,e6,1
Nf3,c5,g3,b6,1
Nf3,e6,e3,d6,1
Nf3,e6,d4,Nf6,1
Nf3,e6,c4,f5,1
Nf3,e6,c4,b6,1
Nf3,e6,b3,Nf6,1
Nf3,e5,Nxe5,Qe7,1
Nf3,e5,Nxe5,Nc6,1
Nf3,d6,g3,c6,1
Nf3,d6,g3,Nf6,1
Nf3,d6,e4,Nf6,1
Nf3,d6,e4,Nd7,1
Nf3,d6,d4,e5,1
Nf3,d6,d4,Nd7,1
Nf3,d6,c4,e5,1
Nf3,d6,c4,Nd7,1
Nf3,d5,e3,g6,1
Nf3,d5,e3,e6,1
Nf3,d5,e3,Nc6,1
Nf3,d5,e3,Bg4,1
Nf3,d5,d4,Nc6,1
Nf3,d5,d3,c6,1
Nf3,d5,d3,c5,1
Nf3,d5,b3,e6,1
Nf3,d5,b3,Nc6,1
Nf3,c6,b3,d5,1
c4,e5,Nc3,c5,1
c4,e5,Nc3,c6,1
c4,e5,Nc3,f5,1
d4,d6,Nc3,g6,1
d4,e6,c4,d6,1
d4,e6,c4,c6,1
d4,e6,Be3,b6,1
d4,e5,e3,d6,1
d4,e5,dxe5,d6,1
d4,e5,c3,e4,1
d4,d6,e4,Bd7,1
d4,d6,e3,g6,1
d4,d6,e3,Nf6,1
d4,d6,d5,Nf6,1
d4,d6,c4,f5,1
d4,d6,c4,Nd7,1
d4,d6,Bg5,h6,1
d4,d5,Nc3,e6,1
d4,d5,g3,Bf5,1
d4,d5,f4,Bf5,1
d4,d5,e3,c5,1
d4,d5,c4,g6,1
d4,d5,c4,Na6,1
d4,d5,c4,1/2-1/2,1
d4,d5,c3,Nf6,1
d4,d5,Nf3,h6,1
d4,d5,Nf3,g6,1
d4,d5,Nf3,f6,1
d4,d5,Nf3,a6,1
d4,d5,Nf3,Nd7,1
d4,e6,g3,Nf6,1
d4,e6,g3,f5,1
d4,f5,Bf4,e6,1
d4,f5,Bg5,Nf6,1
e4,Na6,d4,d6,1
e3,e6,d4,d5,1
e3,e6,Nc3,Nc6,1
e3,e5,e4,f5,1
e3,e5,d3,d5,1
e3,e5,c4,Nf6,1
e3,e5,Qf3,e4,1
e3,e5,Qf3,Nf6,1
e3,e5,Nf3,Nc6,1
e3,e5,Nc3,Nc6,1
e3,d6,c3,e5,1
e3,d5,d4,Nf6,1
e3,d5,d4,Bf5,1
e3,d5,d3,Nf6,1
e3,Nf6,g3,g6,1
e3,Nf6,b3,g6,1
e3,Nf6,a3,g6,1
e3,Nf6,Nf3,c5,1
d4,g6,Bg5,Bg7,1
d4,f5,g4,fxg4,1
d4,f5,e3,Nf6,1
d4,f5,c4,d6,1
d4,f5,Qd3,d5,1
