,1,2,3,4,5,0
d4,d6,e4,Nf6,Nc3,e5,10
Nf3,d5,g3,Bg4,Bg2,c6,10
e4,e6,Nf3,d5,e5,c5,10
e4,c5,Nf3,d6,Bb5+,Nc6,10
d4,Nf6,c4,e6,Nc3,c5,10
d4,d5,c4,dxc4,e4,e5,10
e4,Nc6,d4,d5,e5,Bf5,10
e4,c5,Nc3,d6,f4,g6,10
Nf3,g6,g3,Bg7,Bg2,e5,10
e4,e5,Bc4,Nf6,d3,c6,10
d4,d5,c4,dxc4,e3,e5,10
d4,d6,Nf3,Nf6,c4,g6,10
d4,Nf6,c4,Nc6,Nf3,e6,10
e4,c5,d4,cxd4,c3,d3,10
e4,e5,Nf3,Nc6,Bc4,h6,10
e4,c5,Nf3,d6,Nc3,a6,10
e4,c5,Nc3,d6,f4,Nc6,10
d4,Nf6,Bf4,e6,e3,c5,10
e4,d6,d4,Nf6,Nc3,c6,10
e4,e5,Nf3,Nc6,g3,Nf6,10
e4,c5,Nc3,Nc6,Bb5,g6,10
e4,c5,Nf3,a6,c4,Nc6,9
d4,e6,c4,b6,Nc3,Bb7,9
d4,e6,c4,b6,Nf3,Bb7,9
Nf3,d5,g3,Nf6,Bg2,g6,9
e4,e5,Bc4,Nf6,d3,Bc5,9
e4,e5,Nc3,Nf6,Bc4,Nc6,9
e4,c5,Nf3,Nc6,Nc3,e5,9
e4,c6,d3,d5,Nd2,e5,9
Nf3,Nf6,c4,c5,Nc3,Nc6,9
e4,e6,d4,d5,Nd2,a6,9
d4,Nf6,Nc3,d5,Bf4,Bf5,9
d4,Nf6,Bf4,g6,Nc3,Bg7,9
d4,Nf6,Nc3,d5,Bf4,c6,9
Nf3,Nf6,g3,e6,Bg2,d5,9
d4,Nf6,Nf3,g6,Nc3,Bg7,9
Nf3,c5,c4,Nc6,d4,cxd4,9
e4,c5,Nf3,g6,c3,d5,9
c4,e5,Nc3,Bb4,Nd5,Be7,9
e4,e5,Nf3,d5,exd5,e4,9
c4,Nf6,Nc3,g6,d4,Bg7,8
d4,Nf6,Nc3,d5,Bg5,Nbd7,8
Nf3,d5,d4,Nf6,Bf4,c5,8
e4,e5,Nc3,Nf6,f4,d5,8
d4,d5,Bf4,Nf6,e3,Bf5,8
e4,c5,c3,d6,d4,Nf6,8
d4,e6,c4,b6,e4,Bb4+,8
d4,Nf6,Nf3,e6,Bg5,d5,8
e4,c5,Nf3,e6,Nc3,a6,8
d4,Nf6,Bf4,e6,e3,b6,8
d4,d5,c4,c6,e3,Nf6,8
c4,e5,g3,Nf6,Bg2,d5,8
c4,c6,Nf3,d5,e3,Nf6,8
d4,Nf6,Bg5,Ne4,Bf4,d5,8
e4,c6,Nf3,d5,d3,Qc7,8
d4,Nf6,Nf3,c5,d5,b5,8
e4,c5,Nc3,d6,g3,Nc6,8
d4,Nf6,Nf3,e6,e3,c5,8
e4,c5,c3,g6,d4,cxd4,8
d4,Nf6,c4,g6,f3,Bg7,8
Nf3,Nf6,c4,b6,g3,Bb7,8
Nf3,d5,g3,c6,Bg2,Nf6,8
d4,d5,Bf4,Nf6,e3,g6,8
c4,c5,g3,Nc6,Bg2,g6,8
Nf3,Nf6,g3,d5,Bg2,g6,8
Nf3,d5,c4,d4,b4,c5,8
e4,c5,Nc3,Nc6,f4,e6,8
e4,c5,Nf3,Nc6,Bb5,e5,8
e4,c5,Nf3,g6,c3,Bg7,8
d4,d5,Nf3,Nf6,e3,e6,8
d4,f5,c4,Nf6,Nc3,g6,8
d4,Nf6,Bg5,d5,Bxf6,gxf6,8
c4,c5,g3,g6,Bg2,Bg7,8
Nf3,Nf6,c4,e6,b3,d5,8
c4,Nf6,g3,c6,Bg2,d5,7
e4,e5,Nf3,d6,Bc4,Be7,7
c4,c6,d4,d5,cxd5,cxd5,7
e4,c5,Nc3,e6,Nf3,a6,7
d4,d5,Bf4,c5,e3,cxd4,7
d4,Nf6,Nf3,e6,g3,d5,7
e4,c6,d4,d5,f3,e6,7
e4,c5,Nf3,Nc6,c3,d5,7
